Age,EstimatedSalary,Purchased
44,59426,1
49,43884,0
32,147281,1
27,28535,1
31,11224,0
34,111203,0
28,104857,1
51,27566,1
32,99509,0
30,129364,1
54,111363,0
46,127052,1
45,73794,0
58,122354,0
30,129183,0
31,97477,-1
38,124058,-1
51,26282,1
45,140515,1
20,106102,0
20,31322,-1
20,29442,1
31,51117,0
22,108115,0
51,108474,1
23,33788,1
29,62423,0
47,50270,1
56,72772,0
23,96540,1
29,13303,1
49,146788,1
43,77242,1
34,13778,1
45,53405,1
40,33384,0
33,45428,1
37,117049,1
27,67944,1
31,46891,0
26,53822,1
33,80365,0
38,85151,0
42,14840,0
27,121151,1
54,19309,1
30,28564,0
58,27049,0
56,120419,1
55,82269,0
51,77288,1
51,86119,0
42,29357,0
56,97099,0
52,132432,0
39,90130,0
42,49489,1
33,55308,1
55,68561,0
32,57248,0
56,85892,0
29,11493,1
47,110621,0
52,124030,0
28,112069,0
46,30360,0
48,17160,1
54,87449,1
39,42861,0
39,134609,0
37,99617,1
28,130832,1
44,23687,-1
28,67585,0
31,84673,1
34,11570,1
25,109071,1
42,62256,1
42,125349,1
53,129952,0
56,82119,1
49,33661,1
25,50125,-1
40,65837,0
38,49755,0
22,67495,-1
53,120151,1
40,23862,0
48,11833,0
53,139311,1
32,124013,1
30,16380,0
32,62198,1
31,57603,0
36,56531,1
30,45146,0
35,47786,0
51,116319,1
59,39649,1
32,80573,0
39,71111,1
27,55722,0
41,37512,0
33,138644,1
39,97197,1
57,19905,0
57,80369,0
50,145719,0
59,16169,0
57,140013,1
46,41589,1
54,26538,0
35,126028,1
47,90014,0
34,48397,-1
31,41297,1
46,40647,1
26,122799,1
44,92168,-1
34,59515,1
24,116068,0
34,111917,1
39,74641,1
43,50686,-1
54,26838,1
57,36853,0
36,76478,0
22,8663,0
41,142268,0
30,78592,1
33,83268,-1
57,94307,0
27,35845,1
31,94659,0
25,59234,0
54,115948,1
39,111466,0
33,108165,1
35,61822,1
33,34642,0
22,109215,1
52,41336,0
57,53762,1
27,96449,1
46,57044,0
58,116415,0
44,141005,1
52,78835,1
29,36103,0
28,29409,1
43,24212,0
39,87185,1
59,100939,1
57,131995,1
56,94363,1
38,122786,1
35,19312,0
37,114507,1
37,12472,0
25,96322,0
43,128091,0
34,26942,1
39,87860,1
51,116068,0
51,96267,1
42,148093,1
43,99265,-1
37,84908,0
53,59279,1
24,97713,0
22,129815,1
26,64935,-1
57,117586,1
58,117119,0
24,145479,1
28,68754,0
22,14050,-1
27,130311,1
47,145605,1
44,71661,1
47,93094,0
28,108073,1
22,132718,0
51,64830,1
21,124223,0
38,94630,0
28,34273,0
38,28804,0
27,134290,1
37,141533,0
25,12155,1
35,98953,0
33,100478,1
45,143009,1
49,55841,1
34,91931,1
35,70648,0
48,9942,0
22,127659,1
30,141069,1
34,107574,0
48,78639,1
58,143995,0
53,120453,0
50,126278,1
32,13851,-1
50,96947,0
36,131391,0
57,62904,0
44,79531,0
22,126127,0
37,102616,0
26,80414,0
47,134762,0
39,23069,1
28,146905,1
20,95864,1
34,11572,1
41,102557,1
43,64241,0
48,35663,0
21,129130,1
33,121797,1
47,130248,0
53,83765,1
54,49652,0
24,113929,1
51,107855,1
53,32711,0
57,58592,1
22,107506,0
21,64393,1
38,27935,1
23,16835,0
48,100683,0
24,59572,1
44,88314,-1
50,95812,1
32,108815,1
26,131596,1
48,128748,1
42,112304,1
38,140563,0
46,113390,0
41,50787,0
25,116760,1
38,27328,0
52,20990,0
38,85006,1
28,11113,1
39,28486,0
36,134938,0
31,94423,1
34,109115,0
59,24547,0
21,44897,1
41,105302,0
30,146727,0
45,149378,0
43,85250,0
39,47722,1
55,140883,0
22,19256,0
37,118707,0
57,111960,1
41,29335,1
32,76273,1
26,100893,1
44,105120,0
57,123042,0
44,116853,1
30,84495,0
52,76075,1
39,43057,0
35,102643,0
33,40843,0
40,123836,0
21,121727,0
28,114180,0
41,69253,0
29,12852,1
46,58390,0
52,60495,0
41,109065,1
27,79970,0
38,38711,1
55,101459,0
45,53676,0
40,54223,1
42,133884,1
59,8916,1
42,68058,0
50,80550,0
21,102148,1
32,44273,1
23,10470,0
50,140812,0
34,119208,0
35,114265,1
25,50475,1
58,74127,1
59,20852,0
40,47725,0
49,67712,-1
32,89168,1
56,131199,0
44,95250,1
27,47616,0
26,142146,1
23,96521,0
30,93122,0
29,78509,1
42,81410,1
32,96828,0
39,17890,1
25,115616,1
53,75724,1
52,56440,-1
34,80031,1
30,63026,1
28,130726,1
34,73030,0
48,74758,1
21,135473,1
46,89772,0
29,28738,1
41,78521,1
33,20281,0
51,9679,0
43,20354,-1
59,130715,0
47,85645,1
23,120624,0
54,118044,1
20,74027,1
42,8317,0
22,116573,-1
25,148933,1
22,19487,0
53,47784,0
23,17947,1
26,42745,0
29,37197,0
49,69105,0
49,55127,1
51,64511,0
50,95444,1
57,48102,1
57,101052,-1
34,132602,0
58,50904,0
37,108528,0
56,72157,0
41,22839,0
20,61581,0
22,129122,0
58,61746,1
30,20243,0
46,43141,0
36,12780,1
26,76182,0
32,103426,0
27,57367,1
21,116216,1
39,82782,0
49,31196,1
47,33157,1
26,24957,1
21,130914,1
33,148484,-1
53,74513,0
34,118238,1
55,130364,0
28,25248,1
46,57449,1
49,70848,0
47,60375,0
59,140355,0
52,43589,0
49,80632,1
57,128418,1
21,48637,0
44,96609,0
42,117136,1
58,43104,0
27,25550,0
31,104714,1
23,57403,0
33,100081,0
46,36976,0
32,123669,0
36,35459,1
57,99974,0
55,110429,0
27,43692,-1
49,27754,0
29,138922,1
43,8328,1
58,70516,1
26,129752,1
32,48443,0
34,102195,1
23,122651,0
36,69510,1
23,37308,0
25,98904,0
58,46529,0
35,36549,0
58,66237,0
55,105391,1
52,89081,0
26,78763,-1
43,94487,1
52,94918,0
31,10029,0
46,40646,-1
53,105143,0
43,107743,0
31,134351,1
47,8371,1
21,132719,0
22,113455,1
21,24335,0
21,131980,0
56,68899,0
44,37388,1
20,147404,1
36,63536,1
46,44223,-1
52,59081,0
21,129372,0
26,104008,1
33,126456,0
23,122372,0
43,119479,1
48,43581,0
42,8752,1
33,96315,1
29,132761,0
55,131777,0
48,14612,1
56,36792,0
46,65399,1
28,46276,1
38,108670,1
27,14717,1
25,133066,1
58,103429,0
31,18961,-1
20,116665,1
36,46624,1
57,37075,1
58,124970,0
41,62961,0
53,56966,1
52,16403,0
29,26570,0
21,101152,0
35,56558,1
47,99353,0
34,75106,1
20,100866,0
20,107614,0
56,128273,0
45,55336,1
33,136121,1
42,117755,-1
35,36593,1
54,12424,-1
55,101498,0
31,18422,1
34,29178,1
22,73016,0
35,131702,1
36,81596,0
26,53344,0
58,67162,-1
44,139638,1
43,20327,0
23,137182,0
23,103292,1
23,137026,1
54,118117,1
34,120628,1
48,33224,0
49,133960,1
20,19047,1
56,62400,1
53,115510,0
38,144700,0
57,72396,0
23,116480,1
33,25986,1
55,26917,1
58,34670,1
27,102946,0
40,140347,0
32,56689,1
40,20165,0
37,90371,1
52,25671,1
32,9551,1
30,52544,-1
41,133547,0
47,51724,0
34,120488,1
51,33408,0
55,57720,0
35,60708,0
21,119786,-1
37,113616,0
57,121255,1
33,77394,1
38,53876,1
35,59836,1
33,66919,0
57,120477,0
52,135065,0
38,90294,0
36,48147,1
37,134422,1
32,121684,0
20,50131,0
57,37122,0
38,22530,0
53,11710,1
29,106956,-1
37,26799,0
43,69325,0
44,95787,0
28,98044,0
59,23728,0
38,118536,0
26,145761,1
26,50295,0
41,106232,1
21,30140,1
25,48127,1
36,104022,0
46,77871,0
32,50326,1
23,12282,0
30,64136,0
40,57169,1
22,80206,0
45,65713,1
50,63314,1
26,135149,0
24,84154,1
22,146926,1
27,32615,1
29,116985,0
30,24558,1
30,53984,1
24,65593,1
55,34463,0
52,108982,0
51,132623,1
53,24572,1
57,105840,1
29,77225,1
53,107474,0
50,76427,1
43,136406,0
49,101621,0
24,44959,1
21,36247,1
29,43152,1
25,77434,0
59,55807,0
23,71033,0
25,20609,0
24,76013,1
25,67475,0
37,36378,1
32,11091,1
26,28773,1
21,88988,1
32,34490,1
50,16454,0
34,132728,1
33,12264,0
57,83406,0
31,128186,1
48,71050,0
29,89468,1
53,86258,1
43,60509,0
22,94102,0
52,117113,1
25,111363,-1
23,14284,1
52,120350,1
57,53458,1
28,87952,0
48,40152,1
31,62246,0
54,79761,1
20,10161,1
41,57918,1
32,113776,0
20,113256,0
23,80240,0
28,107835,1
56,35311,0
29,46398,0
47,92124,1
48,108511,1
40,137236,0
46,42384,0
26,9016,0
50,148787,0
35,107774,0
34,125280,1
55,53432,1
29,95188,0
38,133281,1
44,56991,0
58,73622,0
42,58544,1
23,13028,0
40,137348,0
58,77959,0
20,50405,0
39,58318,1
32,131896,1
20,24098,0
42,125259,1
25,48926,0
54,110158,1
22,44352,0
33,72081,1
23,113147,1
49,41950,0
45,123473,1
24,67814,0
44,32243,0
56,98987,0
47,59844,1
30,82254,0
31,87080,0
51,112146,0
58,59643,1
51,131141,1
30,19557,1
37,30198,1
46,110142,0
40,34746,1
41,10091,0
41,28608,0
59,111670,0
20,84016,0
55,119035,0
41,87651,1
27,22615,0
55,42359,0
44,61444,1
28,81274,0
21,149959,-1
24,88406,1
47,47730,0
37,15652,1
39,100561,0
32,142816,1
45,126332,1
55,109215,1
54,25176,-1
52,97791,0
27,119617,0
49,78270,1
34,32061,0
22,134082,0
31,106570,0
47,37568,0
51,99701,0
46,128178,0
59,69675,1
43,23757,-1
45,68498,1
51,112120,0
52,73128,0
57,78554,1
39,106000,0
27,98484,1
31,28504,0
37,95092,0
45,29534,1
41,115880,1
41,86269,0
39,59665,0
24,65067,0
50,41371,0
26,22616,0
45,11089,0
49,76776,0
59,34509,1
20,147699,0
54,128794,0
32,79722,-1
38,12482,-1
57,101104,0
20,116323,0
48,64237,0
47,132216,1
54,35287,0
47,68382,0
46,107582,1
31,147530,0
59,47910,0
40,66985,0
38,51272,1
55,149211,1
23,60415,0
38,103307,0
47,97133,-1
32,47956,0
44,90576,1
36,45189,0
55,127099,0
55,45272,0
58,127802,1
38,22867,-1
57,76683,1
44,97782,1
39,72194,0
28,52249,0
47,147324,0
42,106605,1
49,137604,1
30,54047,0
59,123906,1
21,145529,0
49,116696,1
59,38275,1
39,79829,1
53,32041,1
42,31083,0
51,102596,1
34,111203,1
39,105814,1
33,95757,0
56,123320,1
51,138779,1
36,25138,0
47,143237,1
26,94639,1
27,77768,1
58,84606,1
21,79101,-1
20,79374,0
39,119564,1
39,149002,0
29,74635,0
36,104005,1
44,39914,1
39,98030,1
27,82057,1
24,67312,0
35,113704,0
37,112968,1
33,24286,1
34,115695,0
33,121120,1
22,69311,1
37,107072,0
46,15715,1
50,9646,0
36,148290,1
57,118810,0
50,125333,0
29,141317,0
37,109202,1
27,82862,0
33,30413,0
22,116543,1
59,143919,0
29,81487,1
55,107159,0
48,8138,0
26,66047,0
34,129370,1
52,26377,0
27,143923,0
46,56697,0
35,50987,0
31,83126,1
35,30480,0
36,109420,0
39,14821,1
30,42591,1
42,107660,0
43,61625,0
58,129836,0
44,131154,1
55,122290,0
28,122755,1
39,52113,0
24,62790,0
22,146489,0
57,125544,0
23,35085,0
48,79499,0
22,108736,0
54,63473,0
56,89100,0
22,79086,0
48,47415,0
29,61069,0
47,73800,0
44,141295,0
51,89821,1
37,134291,1
44,127519,1
55,62692,0
56,86969,0
35,30446,0
21,137730,0
22,82381,0
33,106461,0
22,94262,0
31,149700,0
51,42573,0
33,79901,0
50,60920,1
23,17081,1
40,59766,0
56,103336,0
42,123772,0
