Age,EstimatedSalary,Gender_Male,Purchased
53,83765,False,1
57,53458,True,1
59,69675,False,1
27,121151,True,1
56,73628,False,1
48,40152,True,1
55,101498,True,0
28,52249,True,0
55,131777,True,0
24,44959,False,1
28,25248,True,1
30,24558,False,1
37,113616,False,0
32,20594,True,0
33,72081,True,1
24,65593,True,1
32,48443,True,0
23,16835,True,0
43,20354,False,1
52,11928,True,1
55,62692,True,1
47,92124,False,1
54,25176,False,1
47,50270,True,1
28,20179,True,1
50,88715,False,1
59,47910,False,0
33,55308,True,1
53,75724,False,1
41,57918,True,1
32,13851,True,1
31,41297,False,1
25,116760,False,1
32,9551,True,1
41,102557,True,1
47,8371,False,1
29,28738,False,1
53,124273,True,0
43,111625,True,1
35,114265,True,1
36,81596,True,0
38,80053,True,1
56,89100,True,0
57,48102,True,1
55,109215,False,1
42,107660,False,0
22,57454,True,0
30,82254,False,0
29,60890,False,0
41,57624,False,0
47,100126,True,0
30,63026,False,1
50,96947,True,0
30,129183,False,0
25,111363,True,1
42,14840,False,0
58,73622,True,0
55,76839,False,0
47,68382,True,0
51,96267,True,1
32,11091,False,1
50,63314,True,1
29,116985,True,0
39,74641,False,1
43,69325,False,0
42,125349,True,1
30,53984,False,1
40,54223,True,1
52,60495,True,0
23,17081,False,1
58,59643,True,1
39,59665,True,0
35,47786,False,0
56,72772,False,0
58,53727,True,0
44,96609,False,0
52,108982,True,0
53,32711,True,0
44,95787,True,0
49,67712,False,1
41,10091,True,0
20,10161,False,1
42,17533,True,1
57,99974,True,0
20,95864,False,1
57,25476,True,1
46,15715,False,1
51,89821,False,1
33,100081,True,0
50,131990,True,1
43,77242,False,1
38,92022,False,0
23,80240,False,0
42,8317,False,0
59,24547,True,0
46,58390,True,0
45,143009,False,1
45,129118,False,1
43,99265,True,1
39,72194,True,0
36,35459,False,1
57,117586,False,1
28,107835,False,1
39,42861,False,0
38,83701,False,0
57,53762,False,1
36,63536,False,1
39,23069,False,1
39,71111,False,1
20,74224,False,1
52,97791,False,0
31,149700,True,0
35,131702,True,1
37,30198,False,1
29,78509,True,1
47,73800,True,0
47,85645,False,1
21,149959,False,1
37,99617,True,1
55,110429,False,0
48,64237,False,0
46,36976,False,0
38,53876,True,1
38,124058,True,1
46,42384,True,0
29,106956,True,1
40,47725,False,0
35,60708,True,0
25,148933,False,1
28,149291,False,1
59,20852,True,0
23,57403,False,0
27,98484,False,1
37,36378,True,1
53,129952,False,0
38,148099,True,0
22,109215,False,1
55,101459,False,0
22,125013,False,0
33,138644,True,1
27,143923,False,0
45,140515,False,1
26,80414,False,0
23,113147,True,1
48,128748,True,1
34,80031,True,1
22,129815,True,1
31,62246,True,0
54,115948,True,1
53,115510,True,0
54,148470,False,0
57,72396,False,0
32,79722,True,1
55,125922,False,0
30,141069,False,1
47,113137,False,1
38,38711,False,1
37,114507,True,1
33,80365,True,0
21,102148,False,1
22,36663,False,1
56,36792,False,0
28,91951,True,0
37,26799,False,0
43,74283,True,0
34,80438,False,0
51,116319,False,1
41,115880,False,1
22,19256,False,0
34,125768,True,0
