Gender,Age,EstimatedSalary,Purchased
Female,28,146905,1
Female,20,95864,1
Female,34,11572,1
Male,41,102557,1
Male,43,64241,0
Female,48,35663,0
Male,21,129130,1
Male,33,121797,1
Male,47,130248,0
Female,53,83765,1
Male,54,49652,0
Female,24,113929,1
Male,51,107855,1
Male,53,32711,0
Female,57,58592,1
Female,22,107506,0
Female,21,64393,1
Female,38,27935,1
Male,23,16835,0
Male,48,100683,0
Female,24,59572,1
Female,44,88314,1
Male,50,95812,1
Male,32,108815,1
Male,26,131596,1
Male,48,128748,1
Female,42,112304,1
Female,38,140563,0
Female,46,113390,0
Male,41,50787,0
Female,25,116760,1
Female,38,27328,0
Male,52,20990,0
Female,38,85006,1
Female,28,11113,1
Male,39,28486,0
Male,36,134938,0
Male,31,94423,1
Male,34,109115,0
Male,59,24547,0
Male,21,44897,1
Female,41,105302,0
Male,30,146727,0
Male,45,149378,0
Female,43,85250,0
Male,39,47722,1
Male,55,140883,0
Female,22,19256,0
Female,37,118707,0
Female,57,111960,1
Female,41,29335,1
Male,32,76273,1
Female,26,100893,1
Female,44,105120,0
Male,57,123042,0
Female,44,116853,1
Female,30,84495,0
Female,52,76075,1
Female,39,43057,0
Male,35,102643,0
Male,33,40843,0
Male,40,123836,0
Female,21,121727,0
Female,28,114180,0
Female,41,69253,0
Male,29,12852,1
Male,46,58390,0
Male,52,60495,0
Female,41,109065,1
Male,27,79970,0
Female,38,38711,1
Female,55,101459,0
Female,45,53676,0
Male,40,54223,1
Female,42,133884,1
Male,59,8916,1
Female,42,68058,0
Female,50,80550,0
Female,21,102148,1
Female,32,44273,1
Female,23,10470,0
Male,50,140812,0
Male,34,119208,0
Male,35,114265,1
Male,25,50475,1
Female,58,74127,1
Male,59,20852,0
Female,40,47725,0
Female,49,67712,1
Female,32,89168,1
Female,56,131199,0
Male,44,95250,1
Male,27,47616,0
Male,26,142146,1
Female,23,96521,0
Male,30,93122,0
Male,29,78509,1
Female,42,81410,1
Female,32,96828,0
Male,39,17890,1
Female,25,115616,1
Female,53,75724,1
Male,52,56440,1
Male,34,80031,1
Female,30,63026,1
Female,28,130726,1
Male,34,73030,0
Female,48,74758,1
Female,21,135473,1
Male,46,89772,0
Female,29,28738,1
Male,41,78521,1
Male,33,20281,0
Female,51,9679,0
Female,43,20354,1
Female,59,130715,0
Female,47,85645,1
Male,23,120624,0
Female,54,118044,1
Female,20,74027,1
Female,42,8317,0
Female,22,116573,1
Female,25,148933,1
Male,22,19487,0
Female,53,47784,0
Female,23,17947,1
Female,26,42745,0
Female,29,37197,0
Female,49,69105,0
Male,49,55127,1
Male,51,64511,0
Male,50,95444,1
Male,57,48102,1
Male,57,101052,1
Male,34,132602,0
Male,58,50904,0
Male,37,108528,0
Male,56,72157,0
Male,41,22839,0
Female,20,61581,0
Male,22,129122,0
Male,58,61746,1
Male,30,20243,0
Female,46,43141,0
Male,36,12780,1
Male,26,76182,0
Male,32,103426,0
Female,27,57367,1
Male,21,116216,1
Male,39,82782,0
Female,49,31196,1
Male,47,33157,1
Female,26,24957,1
Male,21,130914,1
Male,33,148484,1
Male,53,74513,0
Male,34,118238,1
Female,55,130364,0
Male,28,25248,1
Female,46,57449,1
Male,49,70848,0
Male,47,60375,0
Female,59,140355,0
Male,52,43589,0
Male,49,80632,1
Male,57,128418,1
Female,21,48637,0
Female,44,96609,0
Female,42,117136,1
Female,58,43104,0
Female,27,25550,0
Female,31,104714,1
Female,23,57403,0
Male,33,100081,0
Female,46,36976,0
Male,32,123669,0
Female,36,35459,1
Male,57,99974,0
Female,55,110429,0
Female,27,43692,1
Female,49,27754,0
Female,29,138922,1
Female,43,8328,1
Male,58,70516,1
Male,26,129752,1
Male,32,48443,0
Female,34,102195,1
Male,23,122651,0
Male,36,69510,1
Female,23,37308,0
Female,25,98904,0
Male,58,46529,0
Male,35,36549,0
Female,58,66237,0
Female,55,105391,1
Male,52,89081,0
Female,26,78763,1
Male,43,94487,1
Female,52,94918,0
Female,31,10029,0
Female,46,40646,1
Female,53,105143,0
Male,43,107743,0
Male,31,134351,1
Female,47,8371,1
Female,21,132719,0
Male,22,113455,1
Male,21,24335,0
Female,21,131980,0
Male,56,68899,0
Male,44,37388,1
Female,20,147404,1
Female,36,63536,1
Male,46,44223,1
Female,52,59081,0
Male,21,129372,0
Female,26,104008,1
Male,33,126456,0
Female,23,122372,0
Male,43,119479,1
Female,48,43581,0
Female,42,8752,1
Female,33,96315,1
Male,29,132761,0
Male,55,131777,0
Male,48,14612,1
Female,56,36792,0
Female,46,65399,1
Male,28,46276,1
Male,38,108670,1
Male,27,14717,1
Male,25,133066,1
Female,58,103429,0
Male,31,18961,1
Male,20,116665,1
Female,36,46624,1
Female,57,37075,1
Male,58,124970,0
Female,41,62961,0
Female,53,56966,1
Female,52,16403,0
Male,29,26570,0
Female,21,101152,0
Male,35,56558,1
Male,47,99353,0
Female,34,75106,1
Female,20,100866,0
Female,20,107614,0
Female,56,128273,0
Male,45,55336,1
Male,33,136121,1
Male,42,117755,1
Female,35,36593,1
Female,54,12424,1
Male,55,101498,0
Male,31,18422,1
Female,34,29178,1
Female,22,73016,0
Male,35,131702,1
Male,36,81596,0
Female,26,53344,0
Male,58,67162,1
Male,44,139638,1
Female,43,20327,0
Male,23,137182,0
Female,23,103292,1
Male,23,137026,1
Female,54,118117,1
Female,34,120628,1
Male,48,33224,0
Female,49,133960,1
Female,20,19047,1
Male,56,62400,1
Male,53,115510,0
Female,38,144700,0
Female,57,72396,0
Male,23,116480,1
Female,33,25986,1
Female,55,26917,1
Female,58,34670,1
Male,27,102946,0
Female,40,140347,0
Male,32,56689,1
Male,40,20165,0
Female,37,90371,1
Male,52,25671,1
Male,32,9551,1
Female,30,52544,1
Female,41,133547,0
Male,47,51724,0
Male,34,120488,1
Female,51,33408,0
Female,55,57720,0
Male,35,60708,0
Male,21,119786,1
Female,37,113616,0
Female,57,121255,1
Female,33,77394,1
Male,38,53876,1
Male,35,59836,1
Male,33,66919,0
Female,57,120477,0
Female,52,135065,0
Male,38,90294,0
Female,36,48147,1
Male,37,134422,1
Female,32,121684,0
Male,20,50131,0
Female,57,37122,0
Male,38,22530,0
Female,53,11710,1
Male,29,106956,1
Female,37,26799,0
Female,43,69325,0
Male,44,95787,0
Male,28,98044,0
Female,59,23728,0
Male,38,118536,0
Male,26,145761,1
Male,26,50295,0
Female,41,106232,1
Female,21,30140,1
Female,25,48127,1
Female,36,104022,0
Female,46,77871,0
Male,32,50326,1
Female,23,12282,0
Male,30,64136,0
Female,40,57169,1
Male,22,80206,0
Female,45,65713,1
Male,50,63314,1
Male,26,135149,0
Male,24,84154,1
Male,22,146926,1
Male,27,32615,1
Male,29,116985,0
Female,30,24558,1
Female,30,53984,1
Male,24,65593,1
Female,55,34463,0
Male,52,108982,0
Male,51,132623,1
Female,53,24572,1
Male,57,105840,1
Female,29,77225,1
Female,53,107474,0
Female,50,76427,1
Male,43,136406,0
Male,49,101621,0
Female,24,44959,1
Female,21,36247,1
Male,29,43152,1
Female,25,77434,0
Male,59,55807,0
Female,23,71033,0
Female,25,20609,0
Male,24,76013,1
Female,25,67475,0
Male,37,36378,1
Female,32,11091,1
Male,26,28773,1
Female,21,88988,1
Female,32,34490,1
Male,50,16454,0
Female,34,132728,1
Male,33,12264,0
Female,57,83406,0
Male,31,128186,1
Female,48,71050,0
Male,29,89468,1
Male,53,86258,1
Male,43,60509,0
Female,22,94102,0
Male,52,117113,1
Male,25,111363,1
Male,23,14284,1
Female,52,120350,1
Male,57,53458,1
Female,28,87952,0
Male,48,40152,1
Male,31,62246,0
Male,54,79761,1
Female,20,10161,1
Male,41,57918,1
Female,32,113776,0
Female,20,113256,0
Female,23,80240,0
Female,28,107835,1
Female,56,35311,0
Female,29,46398,0
Female,47,92124,1
Male,48,108511,1
Female,40,137236,0
Male,46,42384,0
Female,26,9016,0
Male,50,148787,0
Female,35,107774,0
Female,34,125280,1
Female,55,53432,1
Male,29,95188,0
Male,38,133281,1
Female,44,56991,0
Male,58,73622,0
Male,42,58544,1
Female,23,13028,0
Female,40,137348,0
Male,58,77959,0
Male,20,50405,0
Female,39,58318,1
Female,32,131896,1
Female,20,24098,0
Female,42,125259,1
Female,25,48926,0
Male,54,110158,1
Male,22,44352,0
Male,33,72081,1
Male,23,113147,1
Male,49,41950,0
Male,45,123473,1
Male,24,67814,0
Female,44,32243,0
Male,56,98987,0
Male,47,59844,1
Female,30,82254,0
Male,31,87080,0
Male,51,112146,0
Male,58,59643,1
Male,51,131141,1
Female,30,19557,1
Female,37,30198,1
Female,46,110142,0
Female,40,34746,1
Male,41,10091,0
Male,41,28608,0
Female,59,111670,0
Male,20,84016,0
Female,55,119035,0
Male,41,87651,1
Male,27,22615,0
Male,55,42359,0
Male,44,61444,1
Female,28,81274,0
Female,21,149959,1
Female,24,88406,1
Male,47,47730,0
Male,37,15652,1
Female,39,100561,0
Female,32,142816,1
Female,45,126332,1
Female,55,109215,1
Female,54,25176,1
Female,52,97791,0
Male,27,119617,0
Female,49,78270,1
Male,34,32061,0
Female,22,134082,0
Female,31,106570,0
Female,47,37568,0
Female,51,99701,0
Male,46,128178,0
Female,59,69675,1
Male,43,23757,1
Male,45,68498,1
Male,51,112120,0
Female,52,73128,0
Male,57,78554,1
Male,39,106000,0
Female,27,98484,1
Female,31,28504,0
Male,37,95092,0
Female,45,29534,1
Female,41,115880,1
Female,41,86269,0
Male,39,59665,0
Female,24,65067,0
Female,50,41371,0
Female,26,22616,0
Female,45,11089,0
Male,49,76776,0
Male,59,34509,1
Male,20,147699,0
Male,54,128794,0
Male,32,79722,1
Female,38,12482,1
Male,57,101104,0
Male,20,116323,0
Female,48,64237,0
Male,47,132216,1
Female,54,35287,0
Male,47,68382,0
Female,46,107582,1
Male,31,147530,0
Female,59,47910,0
Female,40,66985,0
Male,38,51272,1
Male,55,149211,1
Female,23,60415,0
Female,38,103307,0
Female,47,97133,1
Male,32,47956,0
Female,44,90576,1
Male,36,45189,0
Male,55,127099,0
Male,55,45272,0
Female,58,127802,1
Male,38,22867,1
Male,57,76683,1
Female,44,97782,1
Male,39,72194,0
Male,28,52249,0
Male,47,147324,0
Female,42,106605,1
Female,49,137604,1
Male,30,54047,0
Male,59,123906,1
Female,21,145529,0
Female,49,116696,1
Female,59,38275,1
Female,39,79829,1
Female,53,32041,1
Female,42,31083,0
Male,51,102596,1
Male,34,111203,1
Female,39,105814,1
Female,33,95757,0
Male,56,123320,1
Male,51,138779,1
Female,36,25138,0
Male,47,143237,1
Male,26,94639,1
Female,27,77768,1
Female,58,84606,1
Female,21,79101,1
Male,20,79374,0
Female,39,119564,1
Female,39,149002,0
Female,29,74635,0
Female,36,104005,1
Female,44,39914,1
Female,39,98030,1
Male,27,82057,1
Male,24,67312,0
Female,35,113704,0
Male,37,112968,1
Female,33,24286,1
Male,34,115695,0
Male,33,121120,1
Female,22,69311,1
Female,37,107072,0
Female,46,15715,1
Male,50,9646,0
Male,36,148290,1
Female,57,118810,0
Male,50,125333,0
Male,29,141317,0
Male,37,109202,1
Male,27,82862,0
Male,33,30413,0
Female,22,116543,1
Male,59,143919,0
Male,29,81487,1
Female,55,107159,0
Female,48,8138,0
Male,26,66047,0
Female,34,129370,1
Female,52,26377,0
Female,27,143923,0
Female,46,56697,0
Male,35,50987,0
Male,31,83126,1
Female,35,30480,0
Male,36,109420,0
Male,39,14821,1
Male,30,42591,1
Female,42,107660,0
Male,43,61625,0
Male,58,129836,0
Male,44,131154,1
Female,55,122290,0
Female,28,122755,1
Male,39,52113,0
Female,24,62790,0
Female,22,146489,0
Female,57,125544,0
Female,23,35085,0
Female,48,79499,0
Male,22,108736,0
Female,54,63473,0
Male,56,89100,0
Male,22,79086,0
Female,48,47415,0
Female,29,61069,0
Male,47,73800,0
Male,44,141295,0
Female,51,89821,1
Male,37,134291,1
Male,44,127519,1
Female,55,62692,0
Male,56,86969,0
Female,35,30446,0
Male,21,137730,0
Female,22,82381,0
Female,33,106461,0
Female,22,94262,0
Male,31,149700,0
Male,51,42573,0
Female,33,79901,0
Male,50,60920,1
Female,23,17081,1
Female,40,59766,0
Female,56,103336,0
Male,42,123772,0
